GAME,MIN,REB,AST,TO,STL,BLK,PF,PTS,W,L,Diff,OFFENSE: Pts/Poss,OFFENSE: eFG%,OFFENSE: TOV%,OFFENSE: ORB%,OFFENSE: FT Rate,DEFENSE: Pts/Poss,DEFENSE: eFG%,DEFENSE: TOV%,DEFENSE: ORB%,DEFENSE: FT Rate
0,24,9,1,0,1,2,0,6,25.0,25.0,-0.2,115.4,56.1%,13.8%,23.2%,21.8,115.6,55.4%,13.6%,26.5%,16.7
1,36,8,4,0,0,1,1,11,28.0,21.0,3.3,117.5,55.9%,13.5%,27.5%,21.4,114.3,54.4%,14.0%,26.2%,20.0
2,19,2,1,1,0,0,1,0,32.0,15.0,8.5,122.1,57.7%,13.0%,28.0%,21.5,113.7,53.2%,13.9%,28.1%,19.9
3,23,7,6,1,0,1,2,8,26.0,23.0,-1.8,113.8,53.6%,13.6%,25.5%,22.9,115.5,55.9%,14.1%,25.9%,18.3
4,31,6,3,1,1,0,2,11,26.0,22.0,-0.0,118.7,56.5%,12.5%,25.0%,20.0,118.7,56.4%,14.0%,29.3%,20.0
5,27,10,2,0,0,0,3,6,33.0,16.0,4.1,118.9,56.2%,13.0%,29.2%,18.0,114.7,53.6%,12.5%,26.7%,20.5
6,25,3,0,0,1,0,2,9,10.0,39.0,-8.4,110.8,53.3%,14.6%,25.6%,17.4,119.1,56.6%,13.2%,28.0%,19.6
7,35,11,2,1,1,0,3,10,17.0,31.0,-2.8,115.0,54.7%,13.4%,27.3%,18.5,117.8,56.1%,13.6%,27.9%,18.0
8,20,4,1,0,0,1,0,7,23.0,25.0,2.7,115.0,53.6%,12.6%,26.4%,20.7,112.3,53.0%,13.7%,26.3%,22.6
9,38,8,5,1,0,0,3,9,34.0,15.0,6.9,115.9,56.9%,15.3%,26.0%,22.0,109.1,51.5%,14.5%,26.3%,19.4
10,32,6,0,1,0,1,1,11,27.0,23.0,1.1,121.7,58.2%,13.4%,28.3%,18.0,120.7,56.7%,13.7%,29.7%,24.3
